Portal,ID Externo,URL,Operacion,Tipo Inmueble,Titulo,Descripcion,Precio,Moneda,Mantenimiento,Calle y Numero,Colonia,Delegacion/Municipio,Ciudad,Estado,Pais,Codigo Postal,Recamaras,Banos,Medios Banos,Estacionamientos,Terreno m2,Construccion m2,Niveles,Antiguedad,Anos Construccion,Num Fotos,Video URL,Tour 360 URL,Amenidades,Servicios,Extras,Exteriores,Ambientes Extra,Balcon,Elevador,Bodega,Estado Conservacion,Codigo Interno,Primera Vista
Inmuebles24,144542466,https://www.inmuebles24.com/propiedades/clasificado/vecledin-edificio-en-venta-zona-del-valle-144542466.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=21,venta,edificio,Edificio en Venta Zona del Valle,,79000000.0,MXN,,Miguel Laurent 804,Letrán Valle,Benito Juárez,,Ciudad De Mexico,México,,,,9,15,336.0,3332.0,,45,45,7,,,null,null,"[""escuela_cercana""]",null,null,,Si,,,5,2026-03-30T07:13:45
Inmuebles24,148963426,https://www.inmuebles24.com/propiedades/clasificado/veclcain-residencia-con-jardin-en-jardines-del-pedregal-148963426.html?n_src=Listado&n_pills=Jard%C3%ADn+privado&n_pg=1&n_pos=19,venta,casa,Residencia con Jardin en Jardines del Pedregal,,56000000.0,MXN,,Picacho al 200,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,,4,4,12,925.0,800.0,,5,5,7,,,null,null,null,"[""terraza"", ""jardin_privado""]","[""cocina_integral""]",,,,excelente,52,2026-03-30T07:13:45
Inmuebles24,148486285,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-bosques-de-las-lomas.-bosque-de-148486285.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=2,venta,casa,Casa en Venta en Bosques de Las Lomas. Bosque de Sauces. Alberca y Jardín,,39500000.0,MXN,,Bosque de Sauces 499,Bosque de las Lomas,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,4,4,2,8,950.0,1000.0,2,35,35,7,,,"[""alberca""]",null,"[""closet"", ""chimenea"", ""escuela_cercana""]","[""terraza""]","[""cocina_integral""]",,,,excelente,24,2026-03-30T07:13:45
Inmuebles24,147288900,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-a-3-cuadras-de-antara-polanco.-147288900.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=26,venta,departamento,Departamento en Venta a 3 Cuadras de Antara Polanco.,,28500000.0,MXN,5000.0,Cicerón 212,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,3,271.0,271.0,,8,8,5,,,"[""gimnasio""]",null,null,null,null,,,,,,2026-03-30T07:13:45
Inmuebles24,148393659,https://www.inmuebles24.com/propiedades/clasificado/veclapin-ph-en-venta-con-amplia-terraza-148393659.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=17,venta,departamento,PH en Venta con Amplia Terraza,,22000000.0,MXN,,IBSEN,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,3,354.0,354.0,,35,35,7,,,null,"[""seguridad_privada""]",null,"[""terraza""]","[""cocina_integral""]",,Si,,,5945,2026-03-30T07:13:45
Inmuebles24,144206731,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-tepexpan-barrio-del-nino-jesus-144206731.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=30,venta,casa,Casa en Venta en Tepexpan Barrio del Niño Jesús,,22000000.0,MXN,,TEPEXPAN,Barrio del Niño Jesús,Coyoacán,Ciudad de México,Ciudad De Mexico,Mexico,,4,4,1,3,560.0,420.0,,42,42,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,,,,52,2026-03-30T07:13:45
Inmuebles24,149036309,https://www.inmuebles24.com/propiedades/clasificado/veclccin-casa-en-privada-lomas-de-chapultepec-149036309.html?n_src=Listado&n_pg=1&n_pos=29,venta,casa,Casa en Privada Lomas de Chapultepec,,21250000.0,MXN,,Av Reforma,Lomas de Chapultepec,Miguel Hidalgo,,Ciudad De Mexico,México,,3,4,1,4,600.0,,,30,30,7,,,null,null,null,null,null,,,,,6901551,2026-03-30T07:13:45
Inmuebles24,149303305,https://www.inmuebles24.com/propiedades/clasificado/vecltein-terreno-en-venta-en-san-jeronimo-lidice-149303305.html?n_src=Listado&n_pg=1&n_pos=8,venta,terreno,Terreno en Venta en San Jerónimo Lidice,,17700000.0,MXN,,SANTIAGO,San Jerónimo Lídice,La Magdalena Contreras,,Ciudad De Mexico,México,,,,,,1674.0,,,,,7,,,null,null,null,null,null,,,,,7393,2026-03-30T07:13:45
Inmuebles24,149095248,https://www.inmuebles24.com/propiedades/clasificado/veclcain-hermosa-casa-que-combina-elegancia-y-confort-en-villa-149095248.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=15,venta,casa,Hermosa Casa Que Combina Elegancia y Confort en Villa Verdun,,17000000.0,MXN,1584.0,Aviñón,Villa Verdún,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,4,4,2,2,317.0,326.0,,19,19,9,,,null,null,"[""closet""]","[""terraza""]",null,,,,,6421,2026-03-30T07:13:45
Inmuebles24,79682405,https://www.inmuebles24.com/propiedades/clasificado/vecltein-terreno-en-venta-en-san-jeronimo-el-toro-79682405.html?n_src=Listado&n_pg=1&n_pos=24,venta,terreno,Terreno en Venta en San Jeronimo El Toro,,17000000.0,MXN,,NUBE 60,Barrio San Francisco,La Magdalena Contreras,,Ciudad De Mexico,México,,,,,,1276.0,,,,,5,,,null,null,null,null,null,,,,,,2026-03-30T07:13:45
